usn,name,department,semester,email
U03CJ23S0058,STUDENT 058,BCA,6,student058@gmail.com
U03CJ23S0059,STUDENT 059,BCA,6,student059@gmail.com
U03CJ23S0060,STUDENT 060,BCA,6,student060@gmail.com
U03CJ23S0061,STUDENT 061,BCA,6,student061@gmail.com
U03CJ23S0062,STUDENT 062,BCA,6,student062@gmail.com
U03CJ23S0063,STUDENT 063,BCA,6,student063@gmail.com
U03CJ23S0064,STUDENT 064,BCA,6,student064@gmail.com
U03CJ23S0065,STUDENT 065,BCA,6,student065@gmail.com
U03CJ23S0066,STUDENT 066,BCA,6,student066@gmail.com
U03CJ23S0067,STUDENT 067,BCA,6,student067@gmail.com
U03CJ23S0068,STUDENT 068,BCA,6,student068@gmail.com
U03CJ23S0069,STUDENT 069,BCA,6,student069@gmail.com
U03CJ23S0070,STUDENT 070,BCA,6,student070@gmail.com
U03CJ23S0071,STUDENT 071,BCA,6,student071@gmail.com
U03CJ23S0072,STUDENT 072,BCA,6,student072@gmail.com
U03CJ23S0073,STUDENT 073,BCA,6,student073@gmail.com
U03CJ23S0074,STUDENT 074,BCA,6,student074@gmail.com
U03CJ23S0075,STUDENT 075,BCA,6,student075@gmail.com
U03CJ23S0076,STUDENT 076,BCA,6,student076@gmail.com
U03CJ23S0077,STUDENT 077,BCA,6,student077@gmail.com
U03CJ23S0078,STUDENT 078,BCA,6,student078@gmail.com
U03CJ23S0079,STUDENT 079,BCA,6,student079@gmail.com
U03CJ23S0080,STUDENT 080,BCA,6,student080@gmail.com
U03CJ23S0081,STUDENT 081,BCA,6,student081@gmail.com
U03CJ23S0082,RITESH RAJ,BCA,6,riteshraj@gmail.com
U03CJ23S0083,STUDENT 083,BCA,6,student083@gmail.com
U03CJ23S0084,STUDENT 084,BCA,6,student084@gmail.com
U03CJ23S0085,STUDENT 085,BCA,6,student085@gmail.com
U03CJ23S0086,STUDENT 086,BCA,6,student086@gmail.com
U03CJ23S0087,STUDENT 087,BCA,6,student087@gmail.com
U03CJ23S0088,STUDENT 088,BCA,6,student088@gmail.com
U03CJ23S0089,STUDENT 089,BCA,6,student089@gmail.com
U03CJ23S0090,STUDENT 090,BCA,6,student090@gmail.com
U03CJ23S0091,STUDENT 091,BCA,6,student091@gmail.com
U03CJ23S0092,STUDENT 092,BCA,6,student092@gmail.com
U03CJ23S0093,SARVIND YADAV,BCA,6,sarvindyadav@gmail.com
U03CJ23S0094,STUDENT 094,BCA,6,student094@gmail.com
U03CJ23S0095,STUDENT 095,BCA,6,student095@gmail.com
U03CJ23S0096,STUDENT 096,BCA,6,student096@gmail.com
U03CJ23S0097,STUDENT 097,BCA,6,student097@gmail.com
U03CJ23S0098,STUDENT 098,BCA,6,student098@gmail.com
U03CJ23S0099,STUDENT 099,BCA,6,student099@gmail.com
U03CJ23S0100,STUDENT 100,BCA,6,student100@gmail.com
U03CJ23S0101,STUDENT 101,BCA,6,student101@gmail.com
U03CJ23S0102,STUDENT 102,BCA,6,student102@gmail.com
U03CJ23S0103,STUDENT 103,BCA,6,student103@gmail.com
U03CJ23S0104,STUDENT 104,BCA,6,student104@gmail.com
U03CJ23S0105,STUDENT 105,BCA,6,student105@gmail.com
U03CJ23S0106,STUDENT 106,BCA,6,student106@gmail.com
U03CJ23S0107,STUDENT 107,BCA,6,student107@gmail.com
U03CJ23S0108,STUDENT 108,BCA,6,student108@gmail.com
U03CJ23S0109,STUDENT 109,BCA,6,student109@gmail.com
U03CJ23S0110,STUDENT 110,BCA,6,student110@gmail.com
U03CJ23S0111,STUDENT 111,BCA,6,student111@gmail.com
U03CJ23S0112,STUDENT 112,BCA,6,student112@gmail.com
U03CJ23S0113,STUDENT 113,BCA,6,student113@gmail.com
U03CJ23S0114,STUDENT 114,BCA,6,student114@gmail.com
U03CJ23S0115,STUDENT 115,BCA,6,student115@gmail.com
U03CJ23S0116,STUDENT 116,BCA,6,student116@gmail.com
U03CJ23S0117,STUDENT 117,BCA,6,student117@gmail.com
U03CJ23S0118,STUDENT 118,BCA,6,student118@gmail.com
U03CJ23S0119,STUDENT 119,BCA,6,student119@gmail.com
U03CJ23S0120,STUDENT 120,BCA,6,student120@gmail.com
